	CAD	biochemistry_Cholesterol	biochemistry_Glucose	biochemistry_HDLcholesterol	biochemistry_HbA1c	biochemistry_LDLdirect	biochemistry_Triglycerides	biochemistry_VitaminD	blood_EOSINOPHIL_COUNT	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	blood_MEAN_PLATELET_VOL	blood_MONOCYTE_COUNT	blood_PLATELET_COUNT	blood_RBC_DISTRIB_WIDTH	blood_RED_COUNT	blood_WHITE_COUNT	bmd_HEEL_TSCOREz	body_BALDING1	body_BMIz	body_HEIGHTz	body_WHRadjBMIz	bp_DIASTOLICadjMEDz	bp_SYSTOLICadjMEDz	cov_EDU_COLLEGE	cov_SMOKING_STATUS	disease_AID_ALL	disease_ALLERGY_ECZEMA_DIAGNOSED	disease_ASTHMA_DIAGNOSED	disease_CARDIOVASCULAR	disease_DERMATOLOGY	disease_DIABETES_ANY_DIAGNOSED	disease_ENDOCRINE_DIABETES	disease_HI_CHOL_SELF_REP	disease_HYPERTENSION_DIAGNOSED	disease_HYPOTHYROIDISM_SELF_REP	disease_PSORIASIS	disease_RESPIRATORY_ENT	disease_T2D	disease_THYROID_ANY_SELF_REP	lung_FEV1FVCzSMOKE	lung_FVCzSMOKE	mental_NEUROTICISM	other_MORNINGPERSON	pigment_HAIR	pigment_TANNING	repro_ChildLess	repro_MENARCHE_AGE	repro_NumberChildrenEverBorn_Pooled
Ancient_Sequence_Age_Human_Enhancer	17.423223	13.984198	18.46753	11.898489	11.354204	13.417786	12.590422	11.170629	11.152325	11.153678	11.2474	9.725176	11.0819435	10.672816	11.724496	10.555703	10.638712	10.371213	12.642693	6.3140726	9.222894	10.601175	9.902634	9.6061125	6.9121866	7.2193804	15.745256	13.871677	15.351925	10.442014	24.99263	15.108141	13.677627	17.285042	10.823211	14.153671	21.642931	14.3873625	13.169241	14.436914	9.349567	9.335932	6.2898564	7.9163933	12.586499	13.498352	9.117999	8.420207	8.299462
Ancient_Sequence_Age_Human_Enhancer.flanking.500	4.7402477	5.361049	5.2233315	4.4663715	5.197504	5.691418	4.4914384	3.5592985	5.1164064	4.6247554	5.457208	5.1707883	5.547858	5.103956	5.5010886	4.8513465	5.251844	3.8678572	4.310214	2.3367357	4.03253	4.187858	3.83294	3.616743	2.1822264	2.1425254	5.0829816	4.405501	4.33106	3.8790133	6.463462	4.2288084	4.0301633	5.4845877	3.827722	5.3878083	6.2004147	4.6947904	3.9270768	5.5039706	3.7209084	3.1731713	2.1040034	2.2393749	4.5568323	4.0525284	2.0815725	2.5727901	2.1086814
Ancient_Sequence_Age_Human_Promoter	17.641699	21.33715	21.014286	15.271521	13.7599945	18.331408	15.944422	10.286512	16.150944	16.298563	18.95562	19.788542	17.47133	17.911299	23.511389	15.288337	14.279837	13.123737	12.804118	5.313042	14.395953	11.4630785	11.323367	10.578258	5.636737	5.527309	18.013666	16.924625	17.432516	10.002362	27.87573	15.64433	12.121533	18.602438	11.145121	17.099998	22.401926	13.42861	11.924251	18.558594	10.316331	9.715264	4.484214	6.3297915	17.697388	13.381921	6.611714	7.242401	6.0960355
Ancient_Sequence_Age_Human_Promoter.flanking.500	14.230044	14.026597	15.892752	10.82702	10.832496	13.4427805	11.239857	8.860706	11.280575	10.987347	12.620119	11.9539	12.216319	11.874052	14.23619	10.784828	10.941516	8.992508	10.47803	4.7433205	9.085172	9.110313	8.469794	8.016072	5.1100736	5.3727574	13.680297	11.922828	12.592122	8.605964	22.144484	12.138875	10.692513	15.112203	8.971328	13.148179	18.875738	11.889799	10.408663	13.578576	7.8811493	7.4368186	4.700668	5.6563845	11.696357	10.834757	6.622727	6.2250943	6.039234
BivFlnk	12.652632	10.126835	12.960172	8.979978	8.225778	9.462763	9.463796	8.718221	8.252614	8.501532	8.444596	7.8235865	8.139918	8.172972	9.019243	8.00742	7.7839637	8.126424	9.466953	5.265581	7.41851	8.027649	7.6812925	7.547682	5.8446484	6.142284	11.2786875	10.363374	11.3974905	8.009002	16.170673	11.2872	10.488377	12.097481	8.35453	10.027655	14.457326	10.633332	10.122985	10.208382	7.30059	7.505579	5.368486	6.747298	9.506756	10.232811	8.133855	7.027235	7.2433243
BivFlnk.flanking.500	4.3878345	4.8612227	4.744449	4.2107067	4.0347595	4.5744376	4.286673	3.4302137	4.3442507	4.3510137	4.672036	4.7813845	4.5236864	4.556086	5.136726	4.2308335	4.1180263	3.9838436	3.8482406	2.4666207	4.1622167	3.6893349	3.6976047	3.5863008	2.5146263	2.4145792	4.4758515	4.3821564	4.4209476	3.39975	5.306583	4.196106	3.7213168	4.5253167	3.6087708	4.4062996	4.8646264	3.8801124	3.6833422	4.5746937	3.5395792	3.4401255	2.1188726	2.7560894	4.48622	3.9180589	2.8106458	2.9471295	2.637012
CTCF_Hoffman	0.69392985	0.89199793	0.75440484	0.82608604	0.8327465	0.86570466	0.819321	0.6074447	0.9031417	0.8895311	0.93718624	0.9950763	0.925363	0.93562096	0.9613905	0.8971656	0.87009585	0.835195	0.7008559	0.5235683	0.94477946	0.7580282	0.78601396	0.7538617	0.46008396	0.38963398	0.7725528	0.7873203	0.74174577	0.65719175	0.7676895	0.6931784	0.6130457	0.74457234	0.69720715	0.80947775	0.738178	0.65731525	0.6123552	0.838928	0.7741007	0.68814325	0.36766717	0.46201977	0.86125433	0.6667841	0.36622283	0.53283364	0.38253385
CTCF_Hoffman.flanking.500	1.1672364	1.610748	1.2973166	1.4085555	1.4175538	1.5371594	1.3952855	0.99301577	1.5884339	1.5543597	1.7270976	1.8949767	1.6830716	1.7074634	1.872561	1.5610288	1.5136877	1.3881115	1.1550992	0.83751273	1.628623	1.2446285	1.2849377	1.2282093	0.7575734	0.657392	1.314962	1.3402612	1.257227	1.0708591	1.3441532	1.1616312	1.0043886	1.2654711	1.143407	1.3956838	1.266365	1.0847343	1.0062803	1.4636657	1.251666	1.1188265	0.61499745	0.7639524	1.4973205	1.1058562	0.6383303	0.8694956	0.65349555
Coding_UCSC	9.336786	11.192071	10.946041	8.53604	7.803633	9.920633	8.865008	5.9947824	8.930722	8.99539	10.0008335	10.204291	9.41701	9.612779	11.899934	8.494086	8.013113	7.5900774	7.311978	3.5190816	8.198951	6.803183	6.7536855	6.3516483	3.6476068	3.442538	9.6479435	9.362935	9.54962	5.933986	13.407821	8.615018	6.7652235	9.788675	6.550849	9.301371	11.162955	7.383369	6.7113795	9.931959	6.229544	5.9105024	2.864667	3.9974635	9.685528	7.5178137	3.923059	4.5456634	3.73353
Coding_UCSC.flanking.500	1.9814055	2.450852	2.1871207	2.1039746	2.072265	2.326644	2.1092143	1.5887158	2.284034	2.2522695	2.4916394	2.625694	2.4050071	2.4392138	2.7222626	2.2430625	2.1654124	1.9983264	1.8189251	1.2783787	2.2395122	1.8510101	1.8665835	1.792611	1.2069601	1.1050534	2.1229088	2.073779	2.0061903	1.6545206	2.45912	1.8924137	1.6716553	2.116967	1.7551827	2.1753306	2.252135	1.8007256	1.6627643	2.269044	1.8110784	1.6575395	1.0479044	1.2188373	2.2310653	1.780537	1.1103829	1.354178	1.1198359
