	CAD	biochemistry_Cholesterol	biochemistry_Glucose	biochemistry_HDLcholesterol	biochemistry_HbA1c	biochemistry_LDLdirect	biochemistry_Triglycerides	biochemistry_VitaminD	blood_EOSINOPHIL_COUNT	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	blood_MEAN_CORPUSCULAR_HEMOGLOBIN	blood_MEAN_PLATELET_VOL	blood_MONOCYTE_COUNT	blood_PLATELET_COUNT	blood_RBC_DISTRIB_WIDTH	blood_RED_COUNT	blood_WHITE_COUNT	bmd_HEEL_TSCOREz	body_BALDING1	body_BMIz	body_HEIGHTz	body_WHRadjBMIz	bp_DIASTOLICadjMEDz	bp_SYSTOLICadjMEDz	cov_EDU_COLLEGE	cov_SMOKING_STATUS	disease_AID_ALL	disease_ALLERGY_ECZEMA_DIAGNOSED	disease_ASTHMA_DIAGNOSED	disease_CARDIOVASCULAR	disease_DERMATOLOGY	disease_DIABETES_ANY_DIAGNOSED	disease_ENDOCRINE_DIABETES	disease_HI_CHOL_SELF_REP	disease_HYPERTENSION_DIAGNOSED	disease_HYPOTHYROIDISM_SELF_REP	disease_PSORIASIS	disease_RESPIRATORY_ENT	disease_T2D	disease_THYROID_ANY_SELF_REP	lung_FEV1FVCzSMOKE	lung_FVCzSMOKE	mental_NEUROTICISM	other_MORNINGPERSON	pigment_HAIR	pigment_TANNING	repro_ChildLess	repro_MENARCHE_AGE	repro_NumberChildrenEverBorn_Pooled
BLUEPRINT_DNA_methylation_MaxCPP_q0																																																	
BLUEPRINT_H3K27acQTL_MaxCPP_q0																																																	
BLUEPRINT_H3K4me1QTL_MaxCPP_q0																																																	
Backgrd_Selection_Stat_q0	0.33655193	0.33373424	0.31317526	0.3895242	0.4033042	0.35338184	0.3793518	0.46698192	0.37936994	0.38292342	0.35349116	0.3555994	0.36578667	0.36553544	0.32706618	0.3899648	0.39896134	0.42177492	0.4166939	0.6270586	0.40937856	0.43998632	0.44805038	0.46242672	0.61675936	0.6315925	0.34828904	0.36500657	0.35015205	0.47392708	0.25818864	0.3652112	0.41625568	0.34095788	0.4478308	0.3625581	0.29854146	0.40120918	0.4247422	0.35113865	0.46559963	0.48372453	0.6747576	0.57737696	0.36593795	0.4042739	0.5376138	0.54825646	0.5733829
CpG_Content_50kb_q0	0.36508083	0.20834093	0.2907481	0.3188045	0.2769197	0.21044743	0.31782982	0.55122614	0.23210178	0.2688964	0.1832873	0.16490364	0.18850647	0.20590906	0.14817621	0.2575268	0.250332	0.3677844	0.4172242	0.7766095	0.2910692	0.39788857	0.41008952	0.4478699	0.8272045	0.8931469	0.30003208	0.33495504	0.3597572	0.49854916	0.2082454	0.40479785	0.48952037	0.29451135	0.4633459	0.26447123	0.2524244	0.41757044	0.5031305	0.2371425	0.4335466	0.52813774	0.9420925	0.7929522	0.28444028	0.44708627	0.8576337	0.702513	0.8680191
GERP.NS_q0	0.114936836	0.26549578	0.14149658	0.22230817	0.34400773	0.32632017	0.2012661	0.1386718	0.33902398	0.2741254	0.3843743	0.42207417	0.40663853	0.36722308	0.3810604	0.33465445	0.3906659	0.19440232	0.17747024	0.16500747	0.2705771	0.24052513	0.21692108	0.19741425	0.10706869	0.08606037	0.17942223	0.15888824	0.119537205	0.20723167	0.14193054	0.1135649	0.11927976	0.18309996	0.18427631	0.26050892	0.16196428	0.17060734	0.12211819	0.26161143	0.22688971	0.1481604	0.122326344	0.07296216	0.21157265	0.12845883	0.03321122	0.10313321	0.050635368
GTEx_eQTL_MaxCPP_q0																																																	
Human_Enhancer_Villar_Species_Enhancer_Count_q0																																																	
MAF_Adj_ASMC_q0	1.7552933	1.4224802	1.7024913	1.4578351	1.4214607	1.4307368	1.4839218	1.6462168	1.3464833	1.3721021	1.3070698	1.2090343	1.3102969	1.3021176	1.276909	1.3507203	1.3656881	1.414199	1.5997586	1.5073667	1.284683	1.4843221	1.4419763	1.4638162	1.593781	1.6768428	1.6101617	1.5494953	1.639804	1.5701035	1.8349862	1.6903425	1.7302537	1.6760472	1.5541193	1.5204681	1.7912766	1.7002717	1.71475	1.491398	1.4371346	1.5104132	1.6391605	1.6454033	1.4371492	1.6661377	1.8409613	1.6023949	1.7642225
MAF_Adj_LLD_AFR_q0	1.4879702	1.2429239	1.4325339	1.3220226	1.3499423	1.3009082	1.3279845	1.5123737	1.2568113	1.2583842	1.1914774	1.1061208	1.2267867	1.1941941	1.118107	1.2586534	1.3030858	1.313159	1.4569557	1.5222055	1.2077979	1.400879	1.3670847	1.3898218	1.5586226	1.6194156	1.4056537	1.3553132	1.4057457	1.478772	1.4866024	1.4562211	1.5430927	1.4591676	1.4382885	1.3693985	1.508569	1.5222737	1.5315098	1.3351368	1.3786467	1.4245988	1.6346605	1.5652509	1.2740245	1.4819934	1.6536524	1.5243741	1.6293383
